Airport name,﻿Main city served,ICAO,IATA,ARC,INTL - NTL,Civil - joint civil/military,Latitude,Longitude
Fuyun Keketuohai Airport,Fuyun (Aletai),ZWFY,FYN,4C,NTL,Joint civil/military,46.804169,89.512006
Hami Yizhou Airport,Hami,ZWHM,HMI,4C,NTL,Joint civil/military,42.8414,93.669197
Hejing Bayinbuluke Airport,Hejing (Bayingolin),ZWHJ,HJB,4C,NTL,Civil,42.976395,83.995543
Hetian Kungang Airport,Hetian (Hetian),ZWTN,HTN,4D,NTL,Joint civil/military,37.03850173950195,79.86489868164062
Kashi Laining International Airport,Kashi (Kashi),ZWSH,KHG,4E,INTL,Joint civil/military,39.5429,76.019997
Kelamayi Guhai Airport,Kelamayi,ZWKM,KRY,4D,NTL,Civil,45.46655,84.9527
Ku'erle Licheng Airport,Ku'erle (Bayingolin),ZWKL,KRL,4D,NTL,Joint civil/military,41.614979,86.140817
Kuqa Qiuci Airport,Kuqa (Akesu),ZWKC,KCA,4C,NTL,Civil,41.677856,82.872917
Qiemo Yudu Airport,Qiemo (Bayingolin),ZWCM,IQM,4C,NTL,Joint civil/military,38.234516,85.465462
Qitai Jiangbulake Airport,Qitai (Changji),ZWQT,JBK,4C,NTL,Joint civil/military,44.166086,89.55014
Ruoqiang Loulan Airport,Ruoqiang (Bayingolin),ZWRQ,RQA,4C,NTL,Civil,38.974722,88.008333
Shache Ye'erqiang Airport,Shache (Kashi),ZWSC,QSZ,4C,NTL,Civil,38.24542,77.056149
Shihezi Huayuan Airport,Shihezi,ZWHZ,SHF,4C,NTL,Civil,44.2421,85.8905
Tacheng Qianquan Airport,Tacheng (Tacheng),ZWTC,TCG,4C,NTL,Civil,46.672501,83.340797
Tashiku'ergan Hongqilafu Airport,Tashiku'ergan (Kashi),ZWTK,HQL,4C,NTL,Joint civil/military,37.661333,75.288877
Tumushuke Tangwangcheng Airport,Tumushuke,ZWTS,TWC,4C,NTL,Civil,39.886663,79.233408
Turpan Jiaohe Airport,Turpan,ZWTL,TLQ,4E,NTL,Civil,43.0308,89.0987
Urumqi Tianshan International Airport,Urumqi,ZWWW,URC,4E,INTL,Civil,43.907101,87.474197
Xinyuan Nalati Airport,Xinyuan (Yili),ZWNL,NLT,4C,NTL,Civil,43.4318,83.3786
Ili Yining International Airport,Yining (Yili),ZWYN,YIN,4C,INTL,Civil,43.955799,81.330299
Yutian Wanfang Airport,Yutian (Hetian),ZWYT,YTW,4C,NTL,Joint civil/military,36.8085,81.7827
Zhaosu Tianma Airport,Zhaosu (Yili),ZWZS,ZFL,4C,NTL,Civil,43.088477,81.223013
Changdu Bangda Airport,Changdu,ZUBD,BPX,4C,NTL,Joint civil/military,30.553600311279297,97.1082992553711
Rikaze Dingri Airport,Dingri (Rikaze),ZUDR,DDR,4C,NTL,Civil,28.604567,86.798
Ali Kunsha Airport,Gar (Ali),ZUAL,NGQ,4D,NTL,Joint civil/military,32.09794,80.053971
Lhasa Konggar International Airport,Lhasa,ZULS,LXA,4E,INTL,Joint civil/military,29.298001,90.911951
Linzhi Milin Airport,Linzhi,ZUNZ,LZY,4D,NTL,Joint civil/military,29.303301,94.335297
Shannan Longzi Airport,Longzi (Shannan),ZUSH,LGZ,4C,NTL,Civil,28.422422,92.348082
Ali Pulan Airport,Pulan (Ali),ZUPL,APJ,4C,NTL,Civil,30.3975,81.138611
Rikaze Peace Airport,Rikaze,ZURK,RKZ,4C,NTL,Joint civil/military,29.3519,89.311401
Baoshan Yunrui Airport,Baoshan,ZPBS,BSD,4C,NTL,Civil,25.053301,99.168297
Cangyuan Washan Airport,Cangyuan (Lincang),ZPCW,CWJ,4C,NTL,Civil,23.276331,99.373169
Dali Fengyi Airport,Dali (Dali),ZPDL,DLU,4C,NTL,Civil,25.649401,100.319
Xishuangbanna Gasa International Airport,Jinghong (Xishuangbanna),ZPJH,JHG,4D,INTL,Civil,21.974648,100.762224
Kunming Changshui International Airport,Kunming,ZPPP,KMG,4F,INTL,Civil,25.110313,102.936743
Lancang Jingmai Airport,Lancang (Pu'er),ZPJM,JMJ,4C,NTL,Civil,22.417733,99.784012
Lijiang Sanyi International Airport,Lijiang,ZPLJ,LJG,4D,INTL,Civil,26.68,100.246002
Lincang Boshang Airport,Lincang,ZPLC,LNJ,4C,NTL,Civil,23.7381,100.025002
Dehong Mangshi International Airport,Mangshi (Dehong),ZPMS,LUM,4C,INTL,Civil,24.4011,98.5317
Ninglang Luguhu Airport,Ninglang (Lijiang),ZPNL,NLH,4C,NTL,Civil,27.5403,100.7593
Pu'er Simao Airport,Pu'er,ZPSM,SYM,4C,NTL,Joint civil/military,22.793301,100.959
Diqing Shangri-La Airport,Shangri-La (Diqing),ZPDQ,DIG,4D,NTL,Civil,27.7936,99.6772
Tengchong Tuofeng Airport,Tengchong (Baoshan),ZPTC,TCZ,4C,NTL,Civil,24.938056,98.485833
Wenshan Yanshan Airport,Wenshan (Wenshan),ZPWS,WNH,4C,NTL,Civil,23.5583,104.3255
